Title,Est Release Year,Operating System
Nascar Racing,1998,Windows 95/DOS
Nascar Racing 2,1996,Windows
Nascar Racing 2,1999,Windows 95/DOS
Nascar Racing 4,2001,Windows
Nascar Thunder 2004,2003,Windows XP/ME/98
Nascar Thunder 2004,2003,Windows
National Geographic Games 2 Pack,No Specified Year,Windows XP/Vista/7
Navy Seals,2003,Windows 98/ME/XP
Navy Seals,2002,Windows 98/ME/XP
NBA Live 06,2005,Windows
NBA Live 96,1997,Windows
NCAA Football 99,1998,Windows 95/98
Need for Speed High Stakes,2000,Windows 95/98
Need for Speed Hot Pursuit 2,2002,Windows
Need for Speed Hot Pursuit 3,1998,Windows 98/95
Need for Speed III: Hot Pursuit,1998,Windows 98/93
Need for Speed III: Hot Pursuit,2000,Windows 95/98
Need for Speed III: Hot Pursuit,1998,Windows 95/98
Need for Speed Most Wanted Black Edition,2005,Windows
Need for Speed Underground 2,2004,Windows
Need for Speed: High Stakes,1999,WIndows 95/98
Need for Speed: High Stakes,2002,Windows 95/98
Need for Speed: Porsche Unleashed,2001,Windows 95/98
Net Pages for Windows,1995,WIndows 3.1
NeverWinter Nights,2002,Windows 98/ME/2000SE/XP
Neverwinter Nights 2,2006,Windows XP
Neverwinter Nights 2 Gold,2008,Windows 2000/XP
Neverwinter Nights Platinum,2004,Windows 98/ME/2000/XP
Neverwinter Nights: Diamond,2005,Windows 98/ME/2000/XP
NFL Fever 2000,1999,Windows 95/98
NFL Math,1996,Windows 3.1/95/Mac
NHL 2002,2001,Windows
NHL 2003,2002,Windows 98/2000/ME/XP
NHL 2003,2002,Windows
NHL 96,1995,Windows
NHL 98,1997,Windows 95
NHL Championship 2000,1999,Windows95/98
NHRA Drag Racing,2000,Windows 95/98/ME
NHRA Drag Racing 2,2000,Windows
NHRA Drag Racing 2: Limited Edition,2000,Windows 95/98/ME
Nickelodeon Toon Twister 3-D,2003,Windows 98/2000/ME/XP
Night Watch Racing,2005,Windows 2000/XP
No Greater Glory: American Civil War,1991,DOS
No Limit Texas Hold’em Poker 3D,2005,Windows 98SE/ME/XP
No One Lives Forever 2,2003,Mac OS X 10.2.6
No One Lives Forever 2: A Spy in H.A.R.M.’S Way,2002,Windows 98/ME/2000/XP
Noah’s Ark,1998,Windows 95 and Mac OS 7.5
Norton Utilities,1997,System 7.1
Nox,2000,Windows
NRA Varmint Hunter,2004,Windows
NSync: Hot Line,2001,Windows 95/98/ME
Nuclear Strike,1999,Windows 95/98
Oddballz,1999,Windows 95/Mac/iMac
Oddworld Abe’s Exoddus,1998,Windows 95/98
Oddworld; Abe’s Oddysee,1997,Windows
Off-Road Drive Simulator,2011,Windows XP (SP3)/Vista/7
Official Red Hat Linux 6.0,1999,Linux
Omni-Play Basketball,1989,DOS
Onimusha 3: Demon Siege,2003,Winodws 2000/XP
Operation Flashpoint,2001,Windows 95/98/ME/2000
Operation Flashpoint (Gold Upgrade),2001,Windows
Operation Flashpoint (Gold Upgrade),2001,Windows
Operation Flashpoint Cold War Crisis,2001,Windows 95/98/ME/2000
Operation Flashpoint Cold War Crisis,2001,Windows 95/98/ME/2000
Operation Flashpoint Resistance,2002,Windows
Operation Flashpoint: Dragon Rising,2009,Windows XP
Outpost v1.5,1996,MS-DOS 5.0+
Over the Hedge,2006,Windows 2000/XP
Overlord,2007,Windows XP
Overlord,2007,Windows XP
Pac-Man Adventures in Time,2000,Windows 95/98
Pac-Man World 2,2004,Windows 98/ME/2000/XP
Pacific Fighters,2004,Windows 98/ME/XP/2000
Pacific Storm,2007,Windows 2000/XP/Vista
Pajama Sam 2 Thunder and Lightning Aren’t So Frightening,1998,Windows 95/3.1/Mac
Pajama Sam 2: Thunder and Lightning Aren’t So Frightening,1998,Windows 3.1/95 and Mac
Pajama Sam 3: You Are What You Eat From Your Head to Your Feet,2000,Windows 95/98 and Mac 7.5
Pajama Sam’s Lost and Found,1999,Windows 3.1/Mac
Panzer General II,1997,Windows 95
Panzer General III: Scorched Earth,2000,Windows 95/98
Paparazzi,2008,Windows XP/Vista
Paradise,2006,Windows 2000/XP
Parallels Desktop 3.0 for Mac,2007,Mac
Party Kit,2000,Windows 95/98
Passport’s MusicTime,???,Windows 3.0 and DOS 3.1 and Macintosh Plus
Pat Sajack’s Lucky Letters Deluxe,2006,Windows 98/2000/XP
Patrician III,2003,Windows 98/ME/XP
Patriot,1992,DOS 5.0
Paws & Claws Pet Vet,2006,Windows
Paws and Claws Pet School,2007,Windows 200/XP/Vista
Paws in Typing Town,1997,Windows 3.1 & Mac
"Pay Less, Get More: Tax Software",2018,Windows 7/8.1/10 Mac OS X
PC Attorney,2003,Windows 98/XP
Peak Studio LE,2011,Windows & Mac 10.5
Pearl Harbor Attack! Attack!,2001,Windows 95/98/ME
Personal Financial Worksheet,????,Commodore 64/128
Pet Pals Animal Doctor,2006,Windows 98/ME/2000/XP/Vista
Peter’s Color Adventure,1994,Windows 3.1 & Mac
Petz Sports,2008,Windows XP SP3/ Vista
Petz Vet,2007,Windows 2000/XP/Vista
Petz Vet,2007,Windows 2000/XP/Vista and Mac OS X 10.2
PGA Tour 96,1995,Windows
PGA Tour Laptop,1997,Windows
Phantasmagoria: A Puzzle of Flesh,1996,Windows
Pharaoh Gold,2005,Windows 98/ME/XP
Phonics Express,mid 2000’s?,Windows 95/98/ME/2000/NT/XP/Mac
Pickers,2011,Windows XP/SP2/7
Picture It! 99,1998,Windows 95/98
Pillars of Eternity II: Dead Fire,2018,Windows Vista
Pinball for Windows,1994,Windows & Mac
Pinball Madness 3,2000,Windows 95/98
Pirates of the Caribbean at World’s End,2007,Windows XP/Vista
Pirates of the Caribbean: At World’s End,2007,Windows XP/Vista
Pitfall the Mayan Adventure,1995,Windows 95
Planescape Torment and Soulbringer,1999,Windows 95/98
Planet of the Apes,2001,Windows 95/98/ME/2000
Planet Side,2003,Windows
Planetary Annihilation,2014,Windows Vista/7/8; Mac OS/X
Platoon,2002,Windows
Play with the Teletubbies,1998,Windows 95/98
Play with the Teletubbies,1998,Windows 95/98
Play-zone! Go fish!,1998,Windows 95/98
Pokemon Gotta Make ’em all!,1999,Windows 98/95
Pokemon Masters Arena,2003,Windows 98/XP/ME
Pokemon Team Turbo,2005,Windows
Pokemon Team Turbo,2005,Windows 98/ME/XP
Polar Games,2006,Windows 98/ME/2000/XP
Polar Games,2006,Windows
Police Chase,2005,Windows 98/ME/2000/XP
Police Quest 3,1991,MS-DOS
Police Quest Open Season,1993,MS-DOS and Windows 3.1
Police Quest Swat,1995,Windows
Police Quest Swat 2,1998,Windows 95/98
Police Quest SWAT 2,1998,Windows
Pool of Radiance: Ruins of Myth Drannor,2001,Windows 95/98/ME
Postal 2,2002,Windows
Power Chess,1996,Windows 3.1/95
Powerboat Racing: Pure Power,2001?,Windows
Precision Racing Indy Car Simulator,1997,Windows NT/95
Prey Limited Collector’s Edition,2006,Windows
Primal Prey,2001,Windows
Primary Partners Faith in God: Super and Social Activity Days For Girls,2007,Windows 95 or higher and Mac OS X 10.1.2
Prince of Persia,2008,Windows XP/Vista
Prince of Persia Sands of Time Trilogy,2008,Windows XP
Prince of Persia The Forgotten Sands,2010,Windows XP/Vista/7
Prince of Persia: The Forgotten Sands,2010,Windows XP/Vista/7
Print Artist 6.0,1999,Windows 98/95/NT
Print Artist: Platinum Edition,2013,Windows XP/Vista/7/8
Print Master: Gold Deluxe,1997,Windows 3.1/95
Printshop: Professional 2.0,2009,Windows 7/Vista/XP
Prison Tycoon Alcatraz,2010,Windows 7
Privateer 2 the Darkening Deluxe Edition,1997,Windows
Pro Hunter 2,1999,Windows 95
Pro Pinball Big Race USA,2000,Windows 95/98/NT
Project Eden,2001,Windows 98/ME
Putt-Putt Goes to the Moon,1995,Windows 3.1/Mac
Putt-putt Saves the Zoo,1996,Windows 3.1/95; Mac
Putt-Putt Travels Through Time,2002,Windows and Mac
Putt-putt travels through time,1997,Windows 95/3.1; Mac
Puzzle Bobble 2,1996,Windows 95/98
Puzzle Games,2002,Windows 95/98/2000/ME/XP & Mac
Puzzle Master,2001,Windows 95/98/ME
Pyst,1996,Windows 3.1/95/Mac
Qbert,1999,Windows 95/98
Quake,1996,MS-DOS 5.0
Quake 4,2005,Windows 2000/XP
Quake 4,2005,Windows XP/2000
Quake 4: Special DVD Edition,2005,Windows 2000/XP
Quake II,1997,Windows 95
Quake III Arena,1999,Windows 95/98
Quake III: Team Arena,2000,Windows 95/98/ME/2000/NT4
Quake++ for Quake,1996,"MS-DOS, Windows 3.1/95"
Queensryche’s Promised Land,1996,Windows 95 and Mac
Quick Verse Bible Suite,2008,Windows XP & Mac
Quicken Financial Planner,1996,Windows 3.1/95
Quicken: Version 6,1996,Windows 3.1/95
Quikpro+II Automatic Program Writers,1986,Commodore 64
Railroad Tycoon,1998,Windows 95/98/NT
Railroad Tycoon II: Platinum,2002,Windows 98/ME/XP
Rainbow Six 3: Raven Shield,2003,Windows 98/2000/XP
Rainbow Six 3: Raven Shield,2003,Windows 98/ME/2000/XP
Rama,1996,DOS/ Windows 95
Rampage,1986,DOS
Ratatouille,2007,Windows 2000/XP Mac OS X 10.3.9
Raven Squad,2008,Windows 7/10
Rayman,1999,Windows 3.1/95/98
Reader Rabbit 1st Grade,2002,Windows
Reader Rabbit 2,1997,Windows 1.1/Mac
Reader Rabbit’s 2nd Grade,2000,Windows 95/98/Mac
Reader Rabbit’s Math 1,1997,Windows/Mac
Reader Rabbit’s Reading 1,1997,Windows/Mac
Reader Rabbit’s Reading Development Library 1,1997,Windows/Mac
Ready For School: Toddler,1998,Windows 95/3.1 & Mac
Real War Air Land and Sea: Rogue States,2002,Windows 95/98/ME/2000/XP
Real War Air Land Sea,2001,Windows 95/98/ME/2000/XP
Realms of the Haunting,1996,Windows 95
Reaxxion,2007,Windows 2000/XP
Recore: Definitive Edition,2019,Windows 7/8/10
Red Faction,2001,Windows
Red Faction Complete,2014,Windows XP
RedLine,1999,Windows 95/98
Redline,1999,Windows 95/98
Redshift 3,1998,Windows
Reel Deal Slots: Adventure 3,????,Windows XP
Remington Super Slam Hunting: Africa,2009,Windows Vista/XP/7
ReMission,2006,Windows 98SE/ME/2000/XP
Republic the Revolution,2003,Windows 98SE/2000/XP
Requiem: Avenging Angel,1999,Windows
Rescue Heroes,2003,Windows 98/ME/2000/XP & Mac
Rescue Heroes Hurricane Havoc,2001,Windows 98/95/ME Power Macintosh
Rescue Heroes Hurricane Havoc,2000,Windows 95/98/ME
Reservoir Dogs,2006,Windows 2000/XP
Resident Evil 2 Platinum,1999,Windows
Resident Evil 4,2005,Windows 2000/XP
Resident Evil 5,2009,Windows Vista/XP
Resident Evil Nemesis,2000,Windows
Restaurant Empire,2003,Windows
Return Fire 2,1998,Windows
Return of the Incredible Machine,2000,Windows
Return to Castle Wolfenstein,2001,Windows 95/98/ME/NT4.0/ 2000/XP
Return to Krondor,1998,Windows
Return to Mysterious Island,2004,Windows 98/ME/2000/XP
Reunion,1994,MS-DOS
Revolution,2002,Windows 98/ME/2000/XP
RF Online,2005,Windows 98SE/2000/XP
Rhem,2003,Windows
Rhiannon Curse of teh Four Branches,2008,Windows XP/Vista
Richard Garriott’s Tabula Rasa Collector’s Edition,2007,Windows
Ricochet Infinity,2007,Windows 95/98/2000/XP/ME/Vista
Riddle of the Sphinx,2000,Windows 95/98/ME
Riddle of the Sphinx,2000,Windows 95/98/ME and System 7.5
Rift,2011,Windows XP/Vista/7
Ripper,1996,Windows 95
Ripper,1996,DOS
Rise of Nations Rise of Legends,2006,Windows XP
Rise of Nations: Gold Edition,2004,Windows XP/2000/ME/98
Rise of the Robots,1994,DOS
Riven: Sequel to Myst,1997,Windows 95
Road Adventures USA,1999,Windows
Robert E. Lee: Civil War General,1996,Windows 95
Rockett’s Adventure Maker,1998,Windows 95/98/Mac
Rockett’s Camp Adventures,1999,Windows 95/98/Mac
Rockett’s First Dance,1998,Windows 95/98/Mac
Rockett’s Secret Invitation,1998,Windows 95/98/Mac
Roger Zelazny and Jane Lindskold’s Chronomaster,1995,MS-DOS 5.0
Roger Zelazny and Jane Lindskold’s Chronomaster,1995,MS-DOS 5.0
Roler Coaster Tycoon 3 Gold!,2005,Windows 98/2000/XP
Roller Coaster Tycoon,1999,Windows 95/98
Roller Coaster Tycoon 3,2004,Windows 98/ME/2000/XP
Roller Coaster Tycoon 3 Wild!,2005,Windows 98/2000/XP
Roller Coaster Tycoon Corkscrew Follies (Expansion Pack),1999,Windows 95/98
Roller Typing,2002,Windows and Mac
Rolling Stones Voodoo Lounge CD-ROM,1995,WIindows 95
Rome Total War Gold Edition,2004,Windows 98SE/ME/2000/XP
Rome: Caesar’s Will,2000,WIndows 95/98
Rome: Total War,2004,Windows 98SE/ME/2000/XP
RPG: Fantasy Action Pack,2008,WIndows 2000/XP/Vista
RR2,2011,Windows XP/Vista/7
Rudolph The Red-Nosed Reindeer’s Magical Sleigh Ride,1998,Windows
Rugrats Go Wild,2003,Windows 98/ME/XP
Runaway The Dream of the Turtle,2007,Windows 2000/XP/Vista
Rune,2000,Windows
Rune Halls of Valhalla,2001,Windows 95/98/NT/ME/2000
Rush For Berlin,2005,Windows 2000/XP SP1
Rybka 2.1 & Chess Openings 2006,2006,Windows
S.A.G.A. #1 – Adventureland,1984,Atari
S.T.O.R.M,1995,DOS
Sacred,2004,Windows 98SE/ME/2000/XP
Safe Cracker,2000,Windows 95/98
Saints of Virtue,1999,Windows 95/98
Saints Row 2,2008,Windows XP/Vista
Samantha Swift and the Golden Touch,2009,Windows XP/Vista
Same or Different,2005,Windows 98/ME/2000/XP/Vista
Sausage Bomber,2018,Windows or Mac
Schizm: Myserious Journey,2001,Windows 95/98/ME/XP
School Tycoon,2003,Windows 98/ME/2000/XP
Science,1999,Windows 98/95/3.1/Mac
Science Blaster Jr.,1997,Windows 95/3.1/Mac
Science Blaster Jr.,1997,Windows 3.1/95 and PowerMac/System 7
Scooby-Doo 2 Monsters Unleashed,2004,Windows 98/2000/ME/XP
Scooby-Doo! Jinx at the Sphinx,2001,Windows 95/98/2000/ME/XP
Scooby-Doo! Showdown in Ghost Town,2001,Windows
Scrabble Online,2004,Windows 98/98SE/ME/2000/XP
Screamer 2 Sheer Speed Road Racing,1999,Windows 95/98
Screen Creator Deluxe,2002,Windows 98/NT/ME/2000/XP
Scribblenauts Unlimited,2012,Windows XP
Scuba: Geheimnisse Der Meere,2006,"Windows 98, 2000, XP"
Sea Wolf,1981,Commodore 64/128
Seal Team,1993,DOS
Secret Service,2008,Windows XP/Vista
Secret Service,2001,Windows 95/98/ME/2000/XP
Section 8,2009,Windows Vista SP1/XP SP3
Seek & Find Adventures,2013,Windows XP/Vista/7
Seek & Find Mysteries 2,2013,Windows XP/Vista/7
Senior PGA Tour Golf,1999,Windows
Serious Sam the First Encounter,2001,Windows 95/98/NT4.0/ME/2000
Serious Sam the Second Encounter,2001,Windows
Sesame Street Numbers,1998,Windows 3.1/95/98
Sesame Street: Astro-Grover,1984,Atari Home Computers
Shadow Man,1999,Windows 95/98
Shadow Ops: Red Mercury,2004,Windows 98SE/ME/2000/XP
Shadow President Shareware,1992,DOS
Shadow Watch,1999,Windows 95/98
Shadowbane: Throne of Oblivion,2004,Windows 98SE/ME/2000/XP
Shadowgrounds Survivor,2007,Windows
Shadowrun Chronicles Boston Lockdown,2015,Windows
Shadows of Cairn,1995,Windows/DOS
Shanghai Double Pack,No Specified Year,Windows
Shanghai Double Pack,1997,Windows 95/98
Shanghai Street Racer,2004,Windows 98/ME/XP
Shape Shifter,2005,Windows
Shellshock 2: Blood Trails,2009,Windows XP/Vista
Sherlock Holmes: The Awakened,2007,Windows 2000/XP/Vista
Shogo Mobile Armer Division,1998,Windows 95/98
Shogun Total War,2001,Windows
Shogun: Total War Warlord Edition,2001,Windows 95/98/2000/ME
Shoot the Roach,2005,Windows 98/ME/2000/XP
Shooting Gallery,2001,Palm OS and Windows 98/ME and Mac OS 8.5.1
Shrek 2,2004,Windows 98/ME/2000/XP
Shrek the Third,2007,Windows XP
Shuffle!,2016,Windows XP/Vista/7
Sid Meier’s Civilization,1991,DOS
Sid Meier’s Civilization IV Gold Edition,2007,Windows 2000/XP/Vista
Sid Meier’s Civilization IV: Game of the Year Edition,2006,Windows 2000/XP
Sid Meier’s Covery Action,1990,Amiga
Sid Meier’s SimGolf,2002,Windows
SideWinder Game Device Profiler And Game Demos,1996,Windows 95
Sidmeier’s Civilization Complete,2005,Windows 98/ME/2000/XP
Sigma 7,1987,Commodore 64/128
Silent Hunter Wolves of the Pacific,2007,Windows Vista/XP
Silent Service II,1992,DOS 3.1
Silent Steel,1995,Windows
Silent Thunder,1997,Windows 95
Silkworm,1989,Commodore 64/128
Sim Ant,1991,DOS & Mac
SIM Ant,1998,Windows 3.1/Mac
Sim City,2013,Windows XP/Vista/7/8
Sim City 3000 Unlimited,2000,Windows 95/98
Sim City Classic,1997,Windows 3.1/95 and Mac
SIM Copter,1996,Windows
SIM Copter,1998,Windows
SIM Farm,1998,Windows 3.1/95/Mac
SIM Life,1998,Windows 95/98
Sim Park,1998,Windows 3.1/95
SIM Park,1998,Windows 3.1/95
SIM Town,1996,Windows 3.1/95
SimCoaster,2000,Windows
Sims 2 Family Fun Stuff,2006,Windows
Sims 2: Nightlife,2005,Windows
Sims 2: Open for Business,2006,Windows
Sims 2: Pets,2006,Windows Vista/XP/ME/2000/98
Sims 3 World Bundle,2013,Windows XP SP2/Vist SP3/7
Sims 3: Pets,2011,Windows XP/Vista/7
Sims: Medieval,2011,Windows XP/Vista SP1/ 7
SimTheme Park,2000,Windows 95/98
Simulation Games,1996,Windows 95/3.1
Simulator 13 Game Collectors Pack,2017,Windows 7/8/8.1
Singularity,2010,Windows XP/Vista/7
Sini Star: Unleashed,1982,WIndows 95/98
Sins of a Solar Empire,2010,Windows 7/Vista
Sins of a Solar Empire,2008,Windows XP SP2/Vista
Sins of a Solar Empire Real-Time Strategy Unrivalled Scale,2008,Windows XP SP 2/Vista
Sins of a Solar Empire Trinity,2010,Windows XP/Vista/7
Sitting of the Farm,1994,Windows 3.1
Skateboard Park Tycoon,2003,Windows 98/ME/2000/XP
Skynet,1996,DOS 6.0
Slots: 100 Pandas,2015,Windows VistaSP1/7/8
Smart Steps Kindergarten,1999,Windows 95/98/ME/2000/XP and System 7.5.1
SnapShot Version 2.0,1999,Windows
Snow Cross,2001,Windows 98/00/ME
Software for the Fun of it,1999,???
Soldier of Fortune II: Double Helix,2003,Windows 98/ME/2000/XP
Soldier of Fortune Platinum Edition,2001,Windows 95/98
Soldier of Fortune Platinum Edition,2001,Windows 95/98/ME/2000/NT4.0
Soldier of Fortune Platnium Edition,2001,Windows
Soldier of Fortune Special Edition,2001,Windows 95/98/ME/2000
Soldier of Fortune Tacitcal Low-Violence Edition,2000,Windows
Solitaire: Antics Ultimate,2003,Windows 95/98/NT/2000/ME/XP & Mac OS X
Sonic and Knuckles Collection,2000,Windows 95/98
Sonic and Knuckles Collection,2000,Windows 95/98
Sonic CD,1997,Windows 95
Sonic R,1999,Windows 95/98
Soul Reaver 2,2001,Windows 98/ME
South Park,1999,Windows
Space Bunnies Must Die,1998,Windows
Space Chimps,2008,Windows XP/Vista
Space Colony,2003,Windows
Space Invaders,1999,Windows
Space Quest 6: Roger Wilco in Spinal Frontier,1995,Windows
Space Quest Collection Series,2006?,Windows
Space Trader: Merchant Marine,2008,Windows Vista/XP
Spec Ops 2: Green Berets,1999,Windows 95/98
Spec Ops The Line,2012,Windows XP SP3
Spec Ops: Ranger Team Bravo,1998,Windows 95/98
Spec Ops: Rangers Lead the Way,1998,Windows 95
Speed Math Bingo,1981,Commodore 64
Spiderman,2002,Windows 98/ME/2000/XP
Spiderman,2001,Windows 95/98/ME/2000
Splinter Cell Pandora Tomorrow,2004,Windows 98SE/ME/2000/XP
Splinter Cell: Double Agent,2006,Windows XP
Spongebob Squarepants Employee of the Month,2002,Windows 98/ME/XP
"Spongebob Squarepants: Lights, Camera, Pants!",2005,Windows 98/ME/2000/XP
Spongebob Squarepants: Operation Krabby Patty,2001,Windows 95/98/ME
Spore,2008,Windows XP/Vista
Spore Creature Creator,2008,Windows XP/Vista
SPQR,1996,Windows
Spy Fox 2 “Some Assembly Required”,1999,Windows 95/98 and System 7.5
Spy Fox in “Dry Cereal”,1997,Windows 3.1/95/98/ME/ Macinosh
Spy Hunter,2003,Windows & Mac
Spy Kids: Mega Mission Zone,2001,Windows 95/98/ME/XP
Spy Masters Max Strikes Back,2001,Windows 95/98/ME/2000 and Mac
Stalingrad,1994,MS-DOS 3.0 and System 7
Stalker Shadow of Chernobyl,2006,Windows 2000 SP4/XP
Star Control 3,1996,Windows 95/DOS
Star Craft,1998,Windows 2000/98/95/XP/ME/NT/Mac
Star Craft: Battle Chest,1998,Windows XP/Vista
Star Post,1983,Commodore 64
Star Shine Legacy,2005,Windows 98/2000/XP
Star Trek Borg,1996,Windows 95/3.1 and Mac
Star Trek DAC,2010,Windows
Star Trek DAC,2010,Windows 7/XP/Vista and Mac OS X 10.5.8
Star Trek Deep Space Nine Harbinger Holosuite Missions,1995,Windows MS-Dos
Star Trek Hidden Evil,1999,WIndows 95/98
Star Trek II: Armada,2001,Windows 95/98/2000/ME
Star Trek Judgment Rites,1993,DOS 3.1
Star Trek Klingon,1996,Windows 95/3.1/Mac
Star Trek Omnipedia,1995,Windows/Mac
Star Trek Online,2010,Windows XP SP2/Vista/7
Star Trek Starfleet Command,1999,Windows
Star Trek Starfleet Command Orion Pirates,2001,Windows 95/98/2000
Star Trek StarFleet Command: Orion Pirates,2001,Windows 95/98/2000
Star Trek the Next Generation A Final Unity,1995,DOS 5.0
Star Trek the Next Generation a Final Unity,1995,DOS/Windows
Star Trek the Promethean Prophecy,1986,IBM PC and DOS 2.0
Star Trek the Rebel Universe,1988,MS-DOS 2.0
Star Trek Volume II: Empires at War,2000,Windows 95/98/2000
Star Trek Voyager Elite Force,2000,Windows 95/98/NT/2000
Star Trek Voyager: Elite Force,2000,Windows 95/98/2000/ME
Star Trek: Armada,2000,Windows 95/98
Star Trek: Away Team,2001,Windows 95/98/2000/ME
Star Trek: Font Pack,1992,Windows 3.1
Star Trek: The Game Show,1997,Windows 3.1/95/Mac
Star Wars Audio Clips,1993,Windows 3.1
Star Wars Battlefront,2004,Windows 98/ME/2000/XP
Star Wars Battlefront,2004,Windows
Star Wars Empire at War,2006,Windows 2000/XP
Star Wars Empire At War Gold Pack,2008,Windows 2000/XP/Vista
Star Wars Episode 1 Insider’s Guide,1999,Windows 95/98
Star Wars Episode 1 The Phantom Menace,1999,Windows
Star Wars Episode 1 The Phantom Menace,1999,Windows 95/98
Star Wars Episode I Racer,1999,Windows 95/98
Star Wars Force Commander,2000,Windows 95/98
Star Wars Galatic Battlegrounds,2001,Windows
Star Wars Galatic Battlegrounds Clone Campaigns,2002,Windows
Star Wars Galaxies,2003,Windows 98SE/ME/2000/XP
Star Wars Galaxies: The Total Experience,2005,Windows 98SE/ME/2000/XP
Star Wars Jedi Knight Dark Forces 2,1997,Windows 95
Star Wars Jedi Knight Dark Forces 2,1997,Windows 95
Star Wars Jedi Knight Dark Forces II,2001,Windows 95/98
Star Wars Jedi Knight Mysteries of the Sith,1998,Windows
Star Wars Knights of the Old Republic,2003,Windows 98/98SE/ME/2000/XP
Star Wars Pit Droids,1999,Windows 95/98/Mac
Star Wars Rebel Assault,1993,DOS
Star Wars Rebel Assault II the Hidden Empire,1995,MS-DOS 6.0 and Windows 95
Star Wars Republic Commando,2005,Windows 98SE/ME/2000/XP
Star Wars Rogue Squadron,1998,Windows 95/98
Star Wars Shadows of the Empire,1997,Windows 95
Star Wars The Old Republic,2011,Windows XP/Vista/7
Star Wars The Old Republic Collector’s Edition,2011,Windows XP/7
Star Wars Tie Fighter,1994,MS DOS 5.0
Star Wars Tie Fighter,1994,MS-DOS 5.0
Star Wars Tie Fighter Collector’s CD-ROM,2001,Windows 95/98
Star Wars X-Wing,2000,Windows 95/98
Star Wars X-Wing Alliance,1999,Windows 95/98
Star Wars X-Wing Wars Collector’s CD-ROM,1994,MS-DOS 5.0
Star Wars X-Wing: Collectors CD-ROM,1994,MS DOS 5.0
Star Wars Yoda’s Challenge,1999,Windows 95/98/Mac
Star Wars: Dark Forces,1994,DOS
Star Wars: Fan Favorites I,2010,Windows XP SP3/Vista SP1
Star Wars: Galactic Battlegrounds Saga,2002,Windows
Star Wars: Jedi Knight II: Jedi Outcast,2002,Windows 95
Star Wars: Millennium Flacon Playset CD-ROM,1996,Windows
Starcraft 2 Wings of Liberty,2010,Windows XP/Vista/7
StarCraft Brood War,1998,Windows 95/98
Starcraft II Heart of the Swarm,2012,Windows XP/Vista/7/8
Starlancer,2000,Windows
Starshine Legacy The Legend of Pandora,2005,Windows 98/98SE/2000/XP
Steel Beasts,2001,Windows 95/98/ME/2000
Storybook Weaver Deluxe,1994,Version 1.2 Windows and Mac
Strategic Command European Theater,2003,Windows
Strategy Games,1996,Windows 95/3.1
Street Fighter II,1993,DOS
Strong Hold 2,2005,Windows 98SE/ME/2000/XP
Stronghold Crusader,2003,Windows 98/Me/2000/XP
Stronghold Crusader,2003,Windows 98/ME/2000/XP
StrongHold Crusader 2,2014,Windows XP/Vista/7/8
Stuart Little,1999,Windows
Stubbs the Zombie: Rebel Without a Pulse,2005,Windows
Sub Command,2001,Windows
Sub Command Akula Seawolf 688(I),2001,Windows 95/98/ME/2000
Success With Math: Linear Equations,1983,Atari 800/1200XL
Success With Math: Multiplication and Division,1983,Atari 800/1200XL
Success With Math: Quadratic Equations,1983,Atari 800/1200XL
Sudoku,2005,Windows 98/2000/Me/XP
Summoner,2001,Windows
Super Breakout,1979,Atari 400/800
Super Hot,2016,Windows 7/10
Super Tetris,1991,Mac
Superbike 2000,2000,Windows
Superbike 2001,2000,Windows 95/98
Superbike 2001,2000,Windows
Superstart! 3rd Grade Math,2008,Windows Vista/XP
Supreme Commander 2,2010,Windows XP/Vista/7
Supreme Commander Forged Alliance,2007,Windows XP/Vista
Supreme Ruler 2010,2010,Windows
Surface Tension,1996,DOS/Windows 95
Survivor the Interactive Game,2001,Windows
Swat 3,1999,Windows 98/95/2000
Swat 3: Elite Edition,2000,Windows 2000/98/95
Sword Searcher Complete Bible Suite,2003,Windows 95/98/ME/NT4/2000/XP
Syberia,2005,Windows 98/ME/2000/XP
Syberia 3,2017,Windows 7 or MacOS
Syndicate,2012,Windows XP/Vista/7
Syndicate Plus,1997,MS-DOS
T2 Limited Edition CD ROM,1996,Windows 3.1/95
T2: The Arcade Game,1991,DOS
Tabloid Tycoon,2005,Windows 98/ME/2000/XP
Tachyon The Fringe,2000,Windows
Tachyon the Fringe,2000,Windows 95/98
Tactical Ops Assault On Terror,2002,Windows
Tag Team Wrestling,1984,IBM DOS
Taiwanese?,1994,DOS
Talking Travel Maps USA,2000,Windows 95
Tamagotchi,1997,Windows 95
Tank Commander,1997,Windows 95
Tarzan,1983,Adam
Teacher’s Puzzle Creator,1999,Windows 95/98
Terror Nova,1996,Windows
Test Drive 4,1997,Windows 95
Test Drive 5,1998,Windows 95/98
Test Drive Off-Road,1997,DOS & Windows 95
Test Drive Off-Road,1997,Windows DOS/95
Tetris Worlds,2002,Windows
Texas Hold’em High Stakes Poker,2004,Windows ME/2000/XP
The adventures of Pinocchio Activity Center,1996,Windows 95/3.1/Mac 7.1
The Alchemist,1995,Windows
The American Girls Premiere 2nd Edition,1998,Windows and Mac
The Ant Bully,2006,Windows 2000/XP
The Apprentice: Los Angeles,2005,Windows 98/2000/ME/XP/Vista
The Beast Within,1995,Windows
The Best 3D Games of ’95,1995,DOS 5.0/Windows 3.1
The Best of Star Trek,1996,Windows 3.1/95
The Black Mirror,2003,Windows 98/2000/ME/XP
